date,title,sentiment__polarity,sentiment__neg,sentiment__neu,sentiment__pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-06T10:07:34+00:00,Tianqi Lithium Raises $1.7 Billion in Year’s Biggest Hong Kong Listing,0.859,0.047,0.885,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05T13:22:42+00:00,"China Cracks Down On Critical Tesla, BMW Supplier: Report",0.966,0.031,0.864,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01T14:38:16+00:00,Electric Vehicle Supply Chains Could Soon Face a New Notable Challenge,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-29T13:11:53+00:00,LG Energy signs battery-grade lithium supply deal with Compass Minerals,0.727,0.018,0.928,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-29T12:00:00+00:00,"Frontier Lithium files Year-End March 31, 2022 Financial Results",0.994,0.003,0.924,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-29T12:00:00+00:00,Compass Minerals Signs Non-Binding Agreement to Supply LG Energy Solution with Battery-Grade Lithium Product Starting in 2025,0.995,0.02,0.883,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-27T11:45:33+00:00,7 Top Lithium Stocks for the Second Half of 2022,0.998,0.017,0.898,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-27T11:00:00+00:00,American Lithium validates Sulfate of Potash as a strategic by-product of future lithium production at Falchani,0.996,0.058,0.853,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-23T23:00:00+00:00,Will Soaring Lithium Prices Spark Demand Destruction?,0.989,0.065,0.826,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-23T11:55:00+00:00,Imperial and E3 Lithium form strategic agreement on lithium pilot project in Alberta,0.995,0.027,0.888,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-21T18:16:51+00:00,IBD Stock Of The Day: Lithium Play SQM Springs Bullishly Off Key Level,0.34,0,0.902,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-21T12:00:00+00:00,Drilling Begins at  Alba Sabrina Claim Block HMN Li Project Argentina,0.87,0.032,0.922,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-13T14:20:00+00:00,Critical Elements Announces a Positive Feasibility Study for the Rose Lithium Project Generating an After-Tax NPV at 8% of US$1.9 B and an After-Tax IRR of 82.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f of the Corporation. Mr. Fuelling is an independent consultant specializing in the lithium market.\n\nThe qualified persons for the study are:\n\nInnoExplo Inc;\n\nCarl Pelletier, P.Geo," or """"believes""""", or variations of such words and phrases or statements that certain actions," events or results """"may"""""," """"could"""""," """"would"""""," """"might"""" or """"will be taken"""""," """"occur"""" or """"be achieved"""". Forward-looking information contained herein include", without limitation, statements relating to mineral reserve estimates, mineral resource estimates, realization of mineral reserve and resource estimates, capital and operating costs estimates, the timing and amount of future production, costs of production, success of mining operations, the ranking of the project in terms of cash cost and production, permitting, economic return estimates, power and storage facilities, life of mine, social, community and environmental impacts, lithium and tantalum markets and sales prices, off-take agreements and purchasers for the Corporation's products, environmental assessment and permitting, securing sufficient financing on acceptable terms, opportunities for short and long term optimization of the Project, and continued positive discussions and relationships with local communities and stakeholders. Forward-looking information is based on assumptions management believes to be reasonable at the time such statements are made. There can be no assurance that such statements will prove to be accurate, as actual results and future events could differ materially from those anticipated in such statements. Accordingly, readers should not place undue reliance on forward-looking information.\n\nAlthough Critical Elements has attempted to identify important factors that could cause actual results to differ materially from those contained in forward-looking information, there may be other factors that cause results not to be as anticipated, estimated or intended. Factors that may cause actual results to differ materially from expected results described in forward-looking information include, but are not limited to: Critical Elements' ability to secure sufficient financing to advance and complete the Project, uncertainties associated with the Corporation's resource and reserve estimates, uncertainties regarding global supply and demand for lithium and tantalum and market and sales prices, uncertainties associated with securing off-take agreements and customer contracts, uncertainties with respect to social, community and environmental impacts, uncertainties with respect to optimization opportunities for the Project, as well as those risk factors set out in the Corporation's year-end Management Discussion and Analysis dated August 31, 2021 and other disclosure documents available under the Corporation's SEDAR profile. Forward-looking information contained herein is made as of the date of this news release and Critical Elements disclaims any obligation to update any forward-looking information, whether as a result of new information, future events or results or otherwise," except as required by applicable securities laws.\n\nSOURCE: Critical Elements Lithium Corporation\n\nView source version on accesswire.com: \r\nhttps://www.accesswire.com/704862/Critical-Elements-Announces-a-Positive-Feasibility-Study-for-the-Rose-Lithium-Project-Generating-an-After-Tax-NPV-at-8-of-US19-B-and-an-After-Tax-IRR-of-824""",https://finance.yahoo.com/news/critical-elements-announces-positive-feasibility-142000775.html,CRE.V,CRECF.US,F12.F,,,,,,,,,,,CHEMICAL GRADE,CRITICAL ELEMENTS,FEASIBILITY STUDY,LITHIUM CARBONATE,LITHIUM CORPORATION,LITHIUM MARKET,MINERAL RESERVE ESTIMATE,TECHNICAL GRADE,THE CORPORATION,,,0.999,0.028,0.923,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07T15:10:46+00:00,Top producer Albemarle risks shutting German plant if EU declares lithium a hazard,-0.396,0.051,0.899,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-05T23:17:00+00:00,Continued strong product pricing and operational update,0.855,0.042,0.902,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-02T13:07:28+00:00,Stellantis secures lithium supply from California for EV batteries,0.926,0.026,0.896,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01T17:57:00+00:00,Lithium Stock Investing Series: How Is Lithium Mined?,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24T11:00:00+00:00,Lithium Americas Enters Collaboration Agreement with Arena Minerals,0.999,0.028,0.846,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24T11:00:00+00:00,Arena Minerals Enters Collaboration Agreement With Lithium Americas,0.998,0.017,0.892,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16T11:39:06+00:00,Trafigura Wants to Build Lithium Business to Tap Battery Boom,0.278,0.039,0.92,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-13T03:24:35+00:00,Albemarle Tops Our List of Lithium Stocks - Who Else is Worth Checking Out?,0.999,0.024,0.878,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-12T14:27:00+00:00,Tesla Might Not Be the Best Way to Play the EV Boom. What to Buy Instead.,0.71,0,0.706,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-05T20:25:51+00:00,Why Albemarle Stock Sizzled on a Down Market Day,-0.453,0.069,0.893,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-05T10:41:21+00:00,Albermarle Stock Soars After Bullish Update on Lithium Outlook,0.875,0.025,0.917,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-04T23:00:00+00:00,3 Impressive Lithium Stocks Flying Under Wall Street’s Radar,0.995,0.05,0.847,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-04T14:31:40+00:00,Livent Soars as Lithium Demand Boosts Revenue,0.955,0.049,0.827,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-04T13:59:05+00:00,Livent Stock Is Soaring on Earnings Beat and Electrifyingly Large Guidance Raise,0.537,0,0.744,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-03T20:05:00+00:00,LIVENT RELEASES FIRST QUARTER 2022 RESULTS,1,0.043,0.851,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-03T10:45:00+00:00,Comstock Announces First Quarter 2022 Results,0.99,0.015,0.909,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-28T16:11:23+00:00,10 Best Lithium Stocks To Buy Now,1,0.014,0.881,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-28T03:04:03+00:00,Top Bid for Lithium Up 140% After Musk’s ‘Insane Levels’ Call,0.016,0.076,0.858,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-21T18:38:38+00:00,Why Lithium Americas Stock Plunged 12% Today,0.296,0.046,0.861,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-21T07:05:00+00:00,E3 Metals Initiates Design of Field Pilot,0.995,0.012,0.908,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-19T16:15:09+00:00,Why Elon Musk wants Tesla to start mining lithium,0.361,0,0.93,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-18T18:12:33+00:00,10 Cheap Lithium Stocks to Buy Now,0.999,0.022,0.887,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-14T12:01:35+00:00,Why A Lithium Battery Shortage May Wreck The Great EV Race,-0.153,0.25,0.597,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-14T02:16:00+00:00,March 2022 Quarterly Activities Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.\n\nSal de Vida Reserve\n\nCategory Time Period (years) Li Total Mass (t) Li2CO3 Equivalent  Proven  1-8 50,725 270,,ALLKEM LIMITED,FINANCIAL INFORMATION,LCE,LITHIUM CARBONATE,METRIC TONNES,THE COMPANY,,,,,,0.999,0.025,0.914,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-12T09:03:16+00:00,The Near-500% Rally in Lithium Is Showing Cracks in China,-0.965,0.093,0.866,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-04T20:57:00+00:00,Sal de Vida capacity increased to 45ktpa in two stages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
