name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
TotalAssets,"3,734,519,000,000","3,542,325,000,000","3,423,397,000,000","3,556,513,000,000","3,500,636,000,000","3,368,518,000,000","3,384,584,000,000","3,433,861,000,000","3,383,433,000,000","3,595,343,000,000","3,666,453,000,000","4,055,762,000,000","4,297,344,000,000","4,320,729,000,000","4,857,451,000,000","4,913,180,000,000","4,458,211,000,000","4,490,634,000,000","4,074,914,000,000","4,184,746,000,000","4,269,513,000,000","5,120,151,000,000","4,832,782,000,000","4,792,077,000,000","5,433,341,000,000","5,969,388,000,000","6,196,732,000,000","6,343,007,000,000","6,334,778,000,000","6,975,950,000,000","6,538,339,000,000","6,301,332,000,000","6,241,623,000,000","6,474,719,000,000","6,104,843,000,000","6,112,785,000,000","6,106,732,000,000","6,014,741,000,000","5,463,874,000,000","5,569,578,000,000","5,731,246,000,000","5,418,701,000,000","5,404,471,000,000","5,379,319,000,000","5,358,755,000,000","5,291,152,000,000","5,323,465,000,000","5,451,173,000,000","5,407,233,000,000","5,453,225,000,000","5,629,105,000,000","6,044,805,000,000","6,185,484,000,000","5,935,637,000,000"
	CurrentAssets,"2,266,041,000,000","2,071,934,000,000","2,004,386,000,000","2,178,737,000,000","2,130,908,000,000","2,032,030,000,000","2,031,699,000,000","2,093,418,000,000","2,038,099,000,000","2,239,696,000,000","2,305,601,000,000","2,663,947,000,000","3,033,858,000,000","3,091,073,000,000","3,557,482,000,000","3,671,106,000,000","3,579,096,000,000","3,578,729,000,000","2,667,288,000,000","2,587,406,000,000","2,736,293,000,000","3,207,436,000,000","2,960,744,000,000","2,906,073,000,000","3,458,585,000,000","3,360,829,000,000","3,413,927,000,000","3,328,813,000,000","3,338,406,000,000","3,677,032,000,000","3,391,568,000,000","3,245,987,000,000","3,209,224,000,000","3,322,594,000,000","3,092,818,000,000","3,139,232,000,000","3,163,707,000,000","3,169,426,000,000","2,759,722,000,000","2,869,662,000,000","3,001,417,000,000","2,724,609,000,000","2,797,081,000,000","2,799,668,000,000","2,804,024,000,000","2,718,484,000,000","2,723,982,000,000","2,761,606,000,000","2,624,575,000,000","2,720,631,000,000","2,955,029,000,000","3,133,151,000,000","3,166,499,000,000","2,929,382,000,000"
		CashCashEquivalentsAndShortTermInvestments,"421,219,000,000","398,408,000,000","465,690,000,000","643,620,000,000","525,456,000,000","498,751,000,000","529,498,000,000","611,833,000,000","376,973,000,000","579,628,000,000","718,342,000,000","1,062,667,000,000","1,335,520,000,000","1,424,470,000,000","1,930,489,000,000","2,001,528,000,000","500,820,000,000","638,842,000,000","512,612,000,000","515,819,000,000","707,693,000,000","804,502,000,000","524,493,000,000","580,683,000,000","969,715,000,000","371,475,000,000","383,113,000,000","205,471,000,000","199,366,000,000","210,250,000,000","172,446,000,000","155,505,000,000","171,340,000,000","196,443,000,000","185,843,000,000","179,048,000,000","209,169,000,000","217,905,000,000","170,343,000,000","208,320,000,000","214,305,000,000","206,032,000,000","224,238,000,000","258,840,000,000","233,188,000,000","205,980,000,000","224,613,000,000","267,449,000,000","330,264,000,000","343,793,000,000","273,848,000,000","266,677,000,000","295,126,000,000","248,649,000,000"
			CashAndCashEquivalents,"421,219,000,000","398,408,000,000","465,690,000,000","643,620,000,000","525,456,000,000","498,751,000,000","529,498,000,000","611,833,000,000","376,973,000,000","579,628,000,000","718,342,000,000","1,062,667,000,000","1,335,520,000,000","1,424,470,000,000","1,930,489,000,000","2,001,528,000,000","500,820,000,000","638,842,000,000","512,612,000,000","515,819,000,000","707,693,000,000","804,502,000,000","524,493,000,000","580,683,000,000","969,715,000,000","371,475,000,000","383,113,000,000","205,471,000,000","199,366,000,000","210,250,000,000","172,446,000,000","155,505,000,000","171,340,000,000","196,443,000,000","185,843,000,000","179,048,000,000","209,169,000,000","217,905,000,000","170,343,000,000","208,320,000,000","214,305,000,000","206,032,000,000","224,238,000,000","258,840,000,000","233,188,000,000","205,980,000,000","224,613,000,000","267,449,000,000","330,264,000,000","343,793,000,000","273,848,000,000","266,677,000,000","295,126,000,000","248,649,000,000"
		Inventory,"531,788,000,000","607,778,000,000","537,821,000,000","519,210,000,000","475,765,000,000","563,239,000,000","518,547,000,000","535,429,000,000","482,327,000,000","565,655,000,000","503,867,000,000","513,189,000,000","468,878,000,000","550,899,000,000","507,529,000,000","508,972,000,000","469,767,000,000","588,790,000,000","673,436,000,000","682,617,000,000","624,321,000,000","808,188,000,000","724,654,000,000","748,843,000,000","729,123,000,000","1,093,399,000,000","1,068,629,000,000","1,149,903,000,000","1,004,739,000,000","1,222,126,000,000","1,094,966,000,000","1,074,192,000,000","934,018,000,000","1,146,698,000,000","1,044,358,000,000","1,108,551,000,000","1,003,108,000,000","1,134,512,000,000","993,182,000,000","996,972,000,000","884,264,000,000","980,690,000,000","993,690,000,000","864,382,000,000","992,430,000,000","958,045,000,000","954,146,000,000","795,601,000,000","863,193,000,000","758,305,000,000","1,061,884,000,000","1,048,353,000,000","1,047,689,000,000","851,452,000,000"
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269,702,000,000","170,362,000,000","172,572,000,000","163,904,000,000","166,403,000,000","175,094,000,000","166,866,000,000","151,558,000,000",,"147,848,000,000",,,,"175,861,000,000"
			WorkInProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"442,324,000,000","430,978,000,000","361,724,000,000","441,465,000,000","420,375,000,000","402,509,000,000","340,183,000,000",,"346,959,000,000",,,,"368,990,000,000"
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"299,344,000,000","368,004,000,000","390,140,000,000","338,754,000,000","384,562,000,000","362,576,000,000","384,771,000,000","303,860,000,000",,"263,498,000,000",,,,"306,601,000,000"
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"315,218,000,000",,,,,,,,,,,,,
		PrepaidAssets,"392,450,000,000","176,649,000,000","168,467,000,000","164,184,000,000","144,188,000,000",,,"143,008,000,000","137,341,000,000","151,399,000,000","136,100,000,000","134,553,000,000","131,261,000,000","155,655,000,000","163,032,000,000","189,215,000,000","180,176,000,000","224,927,000,000","208,226,000,000","217,462,000,000","170,992,000,000","272,819,000,000","455,616,000,000","391,777,000,000","360,735,000,000","390,470,000,000","352,933,000,000","380,032,000,000","333,677,000,000","393,819,000,000","361,031,000,000","353,946,000,000","298,808,000,000","361,680,000,000","324,341,000,000","320,418,000,000","276,774,000,000","309,117,000,000","552,858,000,000","603,651,000,000","245,740,000,000","216,028,000,000","237,702,000,000","391,069,000,000","223,169,000,000","201,095,000,000","219,952,000,000","379,207,000,000","537,436,000,000","394,139,000,000","600,605,000,000","620,133,000,000","609,000,000,000","202,125,000,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0",,"0",,,,"0"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,"21,156,000,000","19,275,000,000","53,938,000,000","56,194,000,000","63,303,000,000","113,242,000,000","221,458,000,000","232,718,000,000","198,066,000,000","152,875,000,000","159,704,000,000","149,687,000,000","146,121,000,000","133,527,000,000","128,285,000,000","152,625,000,000","146,388,000,000","167,758,000,000",,,"146,825,000,000","155,907,000,000","159,797,000,000","161,197,000,000","124,612,000,000","127,647,000,000","150,439,000,000","134,950,000,000",,"141,008,000,000",,,,"148,531,000,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,"1,296,481,000,000","985,409,000,000",,,,,"2,143,000,000","9,473,000,000","68,370,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,"148,989,000,000","148,087,000,000",,,"210,639,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"1,468,478,000,000","1,470,391,000,000","1,419,011,000,000","1,377,776,000,000","1,369,728,000,000","1,336,488,000,000","1,352,885,000,000","1,340,443,000,000","1,345,334,000,000","1,355,647,000,000","1,360,852,000,000","1,391,815,000,000","1,263,486,000,000","1,229,656,000,000","1,299,969,000,000","1,242,074,000,000","879,115,000,000","911,905,000,000","1,407,626,000,000","1,597,340,000,000","1,533,220,000,000","1,912,715,000,000","1,872,038,000,000","1,886,004,000,000","1,974,756,000,000","2,608,559,000,000","2,782,805,000,000","3,014,194,000,000","2,996,372,000,000","3,298,918,000,000","3,146,771,000,000","3,055,345,000,000","3,032,399,000,000","3,152,125,000,000","3,012,025,000,000","2,973,553,000,000","2,943,025,000,000","2,845,315,000,000","2,704,152,000,000","2,699,916,000,000","2,729,829,000,000","2,694,092,000,000","2,607,390,000,000","2,579,651,000,000","2,554,731,000,000","2,572,668,000,000","2,599,483,000,000","2,689,567,000,000","2,782,658,000,000","2,732,594,000,000","2,674,076,000,000","2,911,654,000,000","3,018,985,000,000","3,006,255,000,000"
		NetPPE,"565,353,000,000","589,825,000,000","580,014,000,000","571,588,000,000","575,442,000,000","555,233,000,000","585,042,000,000","575,731,000,000","575,810,000,000","573,538,000,000","566,684,000,000","563,340,000,000","385,720,000,000","378,633,000,000","375,207,000,000","368,924,000,000","365,635,000,000","376,089,000,000","649,790,000,000","656,955,000,000","657,876,000,000","800,635,000,000","768,261,000,000","765,918,000,000","794,304,000,000","896,030,000,000","911,236,000,000","904,432,000,000","886,323,000,000","1,028,383,000,000","997,374,000,000","956,711,000,000","960,035,000,000","955,550,000,000","909,151,000,000","899,869,000,000","884,680,000,000","851,513,000,000","826,383,000,000","845,262,000,000","851,365,000,000","912,582,000,000","895,253,000,000","900,205,000,000","908,022,000,000","930,067,000,000","951,218,000,000","978,726,000,000","1,068,032,000,000","1,089,579,000,000","1,096,672,000,000","1,247,436,000,000","1,279,272,000,000","1,332,178,000,000"
			GrossPPE,"2,047,301,000,000","2,138,737,000,000","2,117,087,000,000","2,104,976,000,000","2,137,798,000,000","2,109,694,000,000","2,153,099,000,000","2,145,656,000,000","2,138,759,000,000","2,151,273,000,000","2,136,656,000,000","2,137,951,000,000","1,957,882,000,000","1,960,504,000,000","1,963,209,000,000","1,955,880,000,000","1,923,087,000,000","1,984,682,000,000","2,671,200,000,000","2,720,316,000,000","2,711,709,000,000","2,998,934,000,000","2,904,957,000,000","2,904,041,000,000","2,951,727,000,000","3,261,541,000,000","3,254,909,000,000","3,253,475,000,000","3,201,829,000,000","3,409,563,000,000","3,326,329,000,000","3,283,186,000,000","3,281,211,000,000","3,297,899,000,000","3,237,742,000,000","3,259,097,000,000","3,220,280,000,000","3,170,087,000,000",,,"3,252,029,000,000","3,434,795,000,000","3,508,151,000,000","3,539,940,000,000","3,594,389,000,000","3,621,893,000,000","3,702,133,000,000","3,728,426,000,000",,"3,908,068,000,000",,,,"4,102,738,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0","0","0","0","0","0","0",,"0",,,,"0"
				LandAndImprovements,"34,681,000,000","40,590,000,000","40,444,000,000","40,571,000,000","40,649,000,000","40,482,000,000","42,198,000,000","42,109,000,000","41,819,000,000","42,343,000,000","42,701,000,000","42,933,000,000","42,442,000,000","42,541,000,000","42,622,000,000","42,662,000,000","42,079,000,000","43,054,000,000","70,526,000,000","74,021,000,000","73,947,000,000","90,719,000,000","88,870,000,000","87,988,000,000","91,881,000,000","90,531,000,000","92,453,000,000","94,190,000,000","94,246,000,000","109,492,000,000","106,354,000,000","97,299,000,000","97,550,000,000","99,583,000,000","98,776,000,000","99,301,000,000","99,102,000,000","99,127,000,000",,,"100,029,000,000","98,341,000,000","99,273,000,000","99,834,000,000","102,873,000,000","103,700,000,000","104,646,000,000","105,663,000,000",,"98,116,000,000",,,,"128,210,000,000"
				BuildingsAndImprovements,"643,425,000,000","671,250,000,000","665,285,000,000","659,320,000,000","656,035,000,000","645,619,000,000","657,634,000,000","650,003,000,000","644,571,000,000","661,744,000,000","659,319,000,000","658,993,000,000","642,613,000,000","640,496,000,000","642,280,000,000","640,630,000,000","629,742,000,000","658,106,000,000","879,677,000,000","889,047,000,000","889,495,000,000","936,620,000,000","904,419,000,000","906,210,000,000","890,659,000,000","964,048,000,000","948,744,000,000","958,189,000,000","948,137,000,000","998,772,000,000","965,073,000,000","979,127,000,000","977,233,000,000","976,390,000,000","959,401,000,000","961,233,000,000","948,918,000,000","935,931,000,000",,,"940,935,000,000","1,002,514,000,000","1,006,686,000,000","996,409,000,000","1,000,989,000,000","998,569,000,000","1,014,884,000,000","1,016,520,000,000",,"996,709,000,000",,,,"1,160,549,000,000"
				MachineryFurnitureEquipment,"1,227,712,000,000","1,276,496,000,000","1,255,074,000,000","1,254,016,000,000","1,282,570,000,000","1,262,191,000,000","1,264,544,000,000","1,266,879,000,000","1,261,488,000,000","1,268,827,000,000","1,259,549,000,000","1,259,608,000,000","1,243,888,000,000","1,248,173,000,000","1,251,343,000,000","1,246,691,000,000","1,232,282,000,000","1,269,594,000,000","1,683,567,000,000","1,736,836,000,000","1,726,471,000,000","1,919,585,000,000","1,865,872,000,000","1,861,138,000,000","1,905,122,000,000","2,149,135,000,000","2,119,213,000,000","2,116,062,000,000","2,077,734,000,000","2,216,612,000,000","2,150,098,000,000","2,120,825,000,000","2,128,297,000,000","2,137,781,000,000","2,093,009,000,000","2,117,753,000,000","2,081,402,000,000","2,048,688,000,000",,,"2,132,059,000,000","2,227,530,000,000","2,292,111,000,000","2,330,565,000,000","2,394,886,000,000","2,426,039,000,000","2,496,791,000,000","2,508,934,000,000",,"2,698,626,000,000",,,,"2,598,042,000,000"
				OtherProperties,"105,027,000,000","111,638,000,000","114,956,000,000","115,558,000,000","119,739,000,000","118,899,000,000","144,872,000,000","150,203,000,000","155,513,000,000","149,777,000,000","152,352,000,000","156,476,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"36,456,000,000","38,763,000,000","41,328,000,000","35,511,000,000","38,805,000,000","42,503,000,000","43,851,000,000","36,462,000,000","35,368,000,000","28,582,000,000","22,735,000,000","19,941,000,000","28,939,000,000","29,294,000,000","26,964,000,000","25,897,000,000","18,984,000,000","13,928,000,000","37,430,000,000","20,412,000,000","21,796,000,000","52,010,000,000","45,796,000,000","48,705,000,000","64,065,000,000","57,827,000,000","94,499,000,000","85,034,000,000","81,712,000,000","84,687,000,000","104,804,000,000","85,935,000,000","78,131,000,000","84,145,000,000","86,556,000,000","80,810,000,000","90,858,000,000","86,341,000,000",,,"79,006,000,000","106,410,000,000","110,081,000,000","113,132,000,000","95,641,000,000","93,585,000,000","85,812,000,000","97,309,000,000",,"114,617,000,000",,,,"215,937,000,000"
			AccumulatedDepreciation,"-1,481,948,000,000","-1,548,912,000,000","-1,537,073,000,000","-1,533,388,000,000","-1,562,356,000,000","-1,554,461,000,000","-1,568,057,000,000","-1,569,925,000,000","-1,562,949,000,000","-1,577,735,000,000","-1,569,972,000,000","-1,574,611,000,000","-1,572,162,000,000","-1,581,871,000,000","-1,588,002,000,000","-1,586,956,000,000","-1,557,452,000,000","-1,608,593,000,000","-2,021,410,000,000","-2,063,361,000,000","-2,053,833,000,000","-2,198,299,000,000","-2,136,696,000,000","-2,138,123,000,000","-2,157,423,000,000","-2,365,511,000,000","-2,343,673,000,000","-2,349,043,000,000","-2,315,506,000,000","-2,381,180,000,000","-2,328,955,000,000","-2,326,475,000,000","-2,321,176,000,000","-2,342,349,000,000","-2,328,591,000,000","-2,359,228,000,000","-2,335,600,000,000","-2,318,574,000,000",,,"-2,400,664,000,000","-2,522,213,000,000","-2,612,898,000,000","-2,639,735,000,000","-2,686,367,000,000","-2,691,826,000,000","-2,750,915,000,000","-2,749,700,000,000",,"-2,818,489,000,000",,,,"-2,770,560,000,000"
		GoodwillAndOtherIntangibleAssets,"158,360,000,000","153,006,000,000","143,007,000,000","134,290,000,000","128,756,000,000","121,635,000,000","121,341,000,000","118,440,000,000","119,677,000,000","114,279,000,000","113,343,000,000","113,503,000,000","116,595,000,000","115,391,000,000","128,613,000,000","127,674,000,000","126,510,000,000","133,654,000,000","152,619,000,000","359,719,000,000","361,569,000,000","546,020,000,000","572,632,000,000","584,776,000,000","639,889,000,000","1,079,570,000,000","1,060,193,000,000","1,151,589,000,000","1,124,607,000,000","1,153,897,000,000","1,075,793,000,000","1,022,171,000,000","1,006,640,000,000","1,024,824,000,000","948,090,000,000","954,559,000,000","919,333,000,000","860,731,000,000",,,"711,665,000,000","679,880,000,000","555,139,000,000","559,246,000,000","548,953,000,000","571,656,000,000","593,044,000,000","618,731,000,000",,"629,820,000,000",,,,"653,910,000,000"
			Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"442,761,000,000",,,"283,453,000,000",,,,,,,,,,
			OtherIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268,904,000,000",,,"275,793,000,000",,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0",,"0",,,,"0"
			NonCurrentDeferredTaxesAssets,"86,146,000,000","79,585,000,000","81,742,000,000","81,861,000,000","79,585,000,000","77,790,000,000","78,425,000,000","80,231,000,000","84,336,000,000","89,990,000,000","93,361,000,000","99,631,000,000","99,003,000,000","67,874,000,000","71,864,000,000","70,318,000,000","76,326,000,000","58,703,000,000","42,069,000,000","41,190,000,000","32,591,000,000","18,644,000,000","28,480,000,000","29,122,000,000","27,921,000,000","48,067,000,000","211,135,000,000","164,135,000,000","190,802,000,000","242,699,000,000","246,664,000,000","266,853,000,000","264,349,000,000","320,247,000,000","339,160,000,000","330,777,000,000","336,330,000,000","367,492,000,000",,,"376,817,000,000","366,456,000,000","362,938,000,000","356,592,000,000","356,075,000,000","359,222,000,000","355,903,000,000","355,687,000,000",,"352,948,000,000",,,,"285,757,000,000"
		OtherNonCurrentAssets,"95,012,000,000","68,901,000,000","59,727,000,000","50,374,000,000","51,917,000,000","51,935,000,000","53,218,000,000","52,622,000,000","52,809,000,000","57,967,000,000","59,164,000,000","62,875,000,000","66,548,000,000","59,719,000,000","60,722,000,000","63,693,000,000","64,804,000,000","79,382,000,000","90,978,000,000","85,095,000,000","79,511,000,000","150,600,000,000","124,107,000,000","128,678,000,000","149,096,000,000","146,383,000,000","153,838,000,000","158,513,000,000","144,817,000,000","157,446,000,000","149,484,000,000","140,500,000,000","136,729,000,000","108,334,000,000","97,302,000,000","98,662,000,000","96,494,000,000","99,565,000,000","1,217,899,000,000","1,172,887,000,000","88,583,000,000","103,393,000,000","109,097,000,000","103,228,000,000","102,567,000,000","109,219,000,000","110,896,000,000","113,569,000,000","1,128,088,000,000","125,394,000,000","1,041,891,000,000","1,089,669,000,000","1,112,277,000,000","141,672,000,000"
TotalLiabilitiesNetMinorityInterest,"2,367,855,000,000","2,296,378,000,000","2,235,931,000,000","2,267,919,000,000","2,196,106,000,000","2,265,942,000,000","2,326,882,000,000","2,393,051,000,000","2,307,007,000,000","2,345,617,000,000","2,365,928,000,000","2,618,070,000,000","2,598,299,000,000","2,499,328,000,000","2,681,738,000,000","2,820,437,000,000","3,447,477,000,000","4,269,741,000,000","4,491,725,000,000","4,408,137,000,000","4,545,217,000,000","5,090,227,000,000","4,134,666,000,000","4,133,279,000,000","4,761,083,000,000","5,022,855,000,000","4,736,143,000,000","4,757,701,000,000","4,769,421,000,000","5,067,446,000,000","4,787,308,000,000","4,658,651,000,000","4,589,296,000,000","4,834,016,000,000","4,575,374,000,000","4,643,417,000,000","4,690,210,000,000","4,630,854,000,000","4,265,249,000,000","4,418,795,000,000","4,494,724,000,000","4,272,341,000,000","4,251,282,000,000","4,199,703,000,000","4,281,691,000,000","4,204,199,000,000","4,259,388,000,000","4,323,551,000,000","4,332,452,000,000","4,693,944,000,000","4,663,785,000,000","4,727,671,000,000","4,752,561,000,000","4,543,461,000,000"
	CurrentLiabilities,"1,509,867,000,000","1,403,209,000,000","1,304,180,000,000","1,337,773,000,000","1,254,881,000,000","1,225,484,000,000","1,237,029,000,000","1,292,367,000,000","1,397,917,000,000","1,471,537,000,000","1,574,017,000,000","1,792,139,000,000","1,878,419,000,000","1,764,356,000,000","1,844,973,000,000","1,943,139,000,000","2,430,940,000,000","3,157,172,000,000","2,846,494,000,000","2,653,684,000,000","2,718,403,000,000","3,651,941,000,000","2,491,054,000,000","2,463,687,000,000","3,072,009,000,000","3,305,782,000,000","2,990,720,000,000","2,924,880,000,000","2,910,868,000,000","3,114,535,000,000","2,785,051,000,000","2,683,772,000,000","2,592,046,000,000","2,743,507,000,000","2,545,815,000,000","2,606,115,000,000","2,743,724,000,000","2,762,357,000,000","2,471,699,000,000","2,585,358,000,000","2,659,260,000,000","2,623,349,000,000","2,570,342,000,000","2,498,309,000,000","2,645,807,000,000","2,571,655,000,000","2,519,752,000,000","2,488,445,000,000","2,510,870,000,000","3,067,773,000,000","3,123,928,000,000","3,282,626,000,000","3,189,060,000,000","2,985,987,000,000"
		CurrentProvisions,,,,,,,,,,,,,,,,,"23,372,000,000","30,090,000,000","30,120,000,000","66,770,000,000","143,761,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"112,195,000,000","88,808,000,000","54,141,000,000","55,372,000,000","54,745,000,000","54,764,000,000","96,733,000,000","97,293,000,000","107,178,000,000","154,739,000,000","214,936,000,000","214,889,000,000","357,744,000,000","319,185,000,000","289,241,000,000","344,253,000,000","301,558,000,000","667,961,000,000","559,468,000,000","643,693,000,000","685,625,000,000","853,485,000,000","397,719,000,000","346,999,000,000","619,612,000,000","671,579,000,000","550,644,000,000","405,334,000,000","296,379,000,000","465,553,000,000","380,607,000,000","275,802,000,000","203,523,000,000","375,010,000,000","418,933,000,000","306,924,000,000","433,128,000,000","598,652,000,000","507,425,000,000","444,258,000,000","326,141,000,000","527,739,000,000","390,593,000,000","1,505,991,000,000","1,645,953,000,000","412,851,000,000","1,460,216,000,000","1,449,249,000,000","1,431,864,000,000","1,074,175,000,000","2,135,711,000,000","2,170,440,000,000","2,036,821,000,000","576,123,000,000"
			CurrentDebt,"75,680,000,000","51,604,000,000","16,692,000,000","17,300,000,000","15,988,000,000","18,538,000,000","54,650,000,000","53,747,000,000","62,649,000,000","113,194,000,000","173,152,000,000","171,988,000,000","357,744,000,000","319,185,000,000","289,241,000,000","344,253,000,000","301,558,000,000","667,961,000,000","559,468,000,000","643,693,000,000","685,625,000,000","853,485,000,000","397,719,000,000","346,999,000,000","619,612,000,000","671,579,000,000","550,644,000,000","405,334,000,000","296,379,000,000","465,553,000,000","380,607,000,000","275,802,000,000","203,523,000,000","375,010,000,000","418,933,000,000","306,924,000,000","433,128,000,000","598,652,000,000","507,425,000,000","444,258,000,000","326,141,000,000","527,739,000,000","390,593,000,000","1,505,991,000,000","1,645,953,000,000","412,851,000,000","1,460,216,000,000","1,449,249,000,000","1,431,864,000,000","1,074,175,000,000","2,135,711,000,000","2,170,440,000,000","2,036,821,000,000","576,123,000,000"
