0,headline,date,snippet,source
113,As Coal Fades in the U.S. Natural Gas Becomes the Climate Battleground,2019-06-26T09:00:10+0000,Utilities are facing a choice: embrace natural gas or shift more aggressively to renewable power? The decision will have a major climate impact.,The New York Times
114,Electric Chargers for the Home Garage,2019-07-11T07:00:07+0000,While additional high-tech roadside charging facilities will make electric driving more practical convenient home equipment sways many to go electric.,The New York Times
115,How to Travel With a Drone,2019-08-13T09:00:11+0000,In the pursuit of epic photos and videos don’t risk fines or getting your drone confiscated.,The New York Times
116,Inside India’s Messy Electric Vehicle Revolution,2019-08-22T09:00:25+0000,A million electric rickshaws sprang up out of nowhere and are now being used by 60 million people a day. The government and vehicle makers are struggling to catch up.,The New York Times
117,Soap Detergent and Even Laxatives Could Turbocharge a Battery Alternative,2019-08-22T15:36:53+0000,Researchers are trying to develop options to lithium-ion and other batteries in a quest for quick bursts of power and extended energy storage.,The New York Times
118,Japan and South Korea Feud but Breaking Up Is Hard,2019-08-28T16:42:57+0000,Tokyo put new trade limits on Seoul and South Korean shoppers are spurning Japanese goods but the ties between the two U.S. allies may be hard to unwind.,The New York Times
119,With a $2 Billion Factory From China a German City Lets Others Worry,2019-09-03T03:00:21+0000,Arnstadt’s embrace of a giant new battery plant for electric cars illustrates Europe’s ambivalence toward Chinese investment: Jobs trump geopolitics.,The New York Times
120,Earth Must Intervene in Space Company Towns,2019-09-09T15:00:05+0000,In the Asteroid Belt exploited miners are working in dangerous conditions.,The New York Times
121,The Concept Cars Gleam but Executive Dread Clouds the Frankfurt Auto Show,2019-09-13T19:59:34+0000,Trade war technology shifts and a global downturn are putting “unprecedented” pressure on automakers. Sustainability is now about survival.,The New York Times
122,Lithium-Ion Batteries Work Earns Nobel Prize in Chemistry for 3 Scientists,2019-10-09T09:50:48+0000,John B. Goodenough M. Stanley Whittingham and Akira Yoshino were recognized for research that has “laid the foundation of a wireless fossil fuel-free society.”,The New York Times
123,Tesla Batteries Investigated for Possible Defects,2019-11-02T01:28:00+0000,The National Highway Traffic Safety Administration is looking into why a number of Tesla vehicles have spontaneously burst into flames.,The New York Times
124,Want the Greenest Device? You May Already Own It,2019-11-20T14:00:10+0000,One way to help the planet is not to buy new tech especially stuff the planet never needed says Kendra Pierre-Louis who reports on the environment.,The New York Times
125,G.M. Venture to Create Ohio Battery Plant and 1100 Jobs,2019-12-05T11:30:10+0000,A deal with LG Chem of South Korea will further the automaker’s plans for electric vehicles and fulfill a pledge made after its Lordstown plant was idled.,The New York Times
126,Knockoff Dyson Vacuum Batteries Are Cheap but They Aren’t Worth the Risk,2020-02-19T00:00:00+0000,If you’re looking to replace the battery pack on your Dyson cordless vacuum we think your best bet is to skip the knockoff packs you can find on Amazon or AliExpress and stick with the genuine Dyson packs—as painfully expensive as they are. We h...,Wirecutter
127,How Our Readers Made Wirecutter Better in April 2020,2020-05-07T00:00:00+0000,It’s been a long month but your comments tweets and emails helped us make it through. From tracking down stock shortages and deals to sharing pro tips and performance feedback on stuff we recommend you’ve been helping us—and each other—every s...,Wirecutter
128,New Breed of Pickups Mixes Horsepower and Battery Power,2020-05-07T10:00:10+0000,Electric Hummers and Cybertrucks as well as the next generation of S.U.V.s will signal the arrival of the E.V. era in America if they start to sell in big numbers.,The New York Times
129,Design Fiction: Real Solutions Unreal Problems,2020-05-29T14:00:15+0000,“Lithopy” a social satire and other futuristic works mark a new direction for digital storytelling.,The New York Times
130,Astronauts Dock With Space Station After Historic SpaceX Launch,2020-05-31T04:24:37+0000,Bob Behnken and Doug Hurley could stay in orbit for months to aid the station’s short-staffed crew.,The New York Times
131,The Next Energy Battle: Renewables vs. Natural Gas,2020-07-06T09:00:25+0000,As coal declines and wind and solar energy rise some are pushing to limit the use of natural gas but utilities say they are not ready to do so.,The New York Times
132,How to Buy Tech That Lasts and Lasts,2020-07-08T14:00:30+0000,All of our tech products will one day become obsolete but here are some strategies to buying gadgets that you can enjoy for many years.,The New York Times
133,U.S. Companies Vie for Funds in Race to Build Rare Earths Industry,2020-08-14T21:29:22+0000,The Trump administration is encouraging development of a domestic industry to produce critical metals now dominated by Chinese companies but few players show clear long-term promise.,The New York Times
134,After 3 Deaths Revel Resumes N.Y.C. Moped Service With Stricter Rules,2020-08-26T23:10:09+0000,The shared moped company is returning to New York City its biggest market and will now be quizzing riders and requiring helmet selfies.,The New York Times
135,The Age of Electric Cars Is Dawning Ahead of Schedule,2020-09-20T18:31:16+0000,Battery prices are dropping faster than expected. Analysts are moving up projections of when an electric vehicle won’t need government incentives to be cheaper than a gasoline model.,The New York Times
136,Are Astronaut-Style Face Shields the Future of P.P.E.?,2020-10-05T09:00:06+0000,They may look high-tech but so far there’s no evidence these devices are more effective than face masks.,The New York Times
137,How Green Is That Electric Car? And When It Hits 100 M.P.H.?,2020-10-15T10:00:07+0000,The Tesla Model S and the Porsche Taycan give environmentally conscious speedsters an outlet for their desires.,The New York Times
138,How Does Your State Make Electricity?,2020-10-28T07:02:20+0000,America isn’t making electricity the way it did two decades ago. Now the future of the nation’s energy mix has become a major election issue.,The New York Times
139,California Is Trying to Jump-Start the Hydrogen Economy,2020-11-11T10:00:32+0000,The fuel could play an important role in fighting climate change but it has been slow to gain traction because of high costs.,The New York Times
140,In Last Rush Trump Grants Mining and Energy Firms Access to Public Lands,2020-12-19T14:25:18+0000,The outgoing administration is pushing through approval of corporate projects over the opposition of environmental groups and tribal communities.,The New York Times
141,The Gospel of Hydrogen Power,2020-12-28T10:00:24+0000,Mike Strizki powers his house and cars with hydrogen he home-brews. He is using his retirement to evangelize for the planet-saving advantages of hydrogen batteries.,The New York Times
142,Small Number of Covid Patients Develop Severe Psychotic Symptoms,2020-12-28T17:03:54+0000,Most had no history of mental illness and became psychotic weeks after contracting the virus. Cases are expected to remain rare but are being reported worldwide.,The New York Times
143,It’s a New Year in the Garden Too: Time for Some Resolutions,2021-01-06T11:00:08+0000,In advance of the growing season it’s helpful for gardeners to acknowledge what went wrong in the previous year and figure out what to do instead.,The New York Times
144,Catch a Fish in Paris. Post on Social Media. Release.,2021-01-11T05:01:11+0000,A new younger generation of fishers is taking over the banks of the Seine transforming a centuries-old tradition into an underground culture.,The New York Times
145,How Sustainable Is the Rally in Renewable Energy Stocks?,2021-01-14T18:00:07+0000,Solar and wind power companies have soared in value. Are they in a bubble or in a virtuous upward cycle?,The New York Times
146,G.M.’s Electric Car Push Could Put China in the Driver’s Seat,2021-01-29T17:15:15+0000,With government support and lavish subsidies Chinese companies have come to dominate the market for batteries motors and other essentials Detroit may need for its new fleets.,The New York Times
147,G.M.’s Profits From Trucks and S.U.V.s Fuel Its Electric Quest,2021-02-10T13:31:57+0000,The automaker earned more than $6 billion last year — money that it will plow into the development of electric and autonomous vehicles.,The New York Times
148,Electric Cars Cool. But When?,2021-02-12T17:52:05+0000,What we need to get to a future of energy-efficient cars.,The New York Times
149,The Auto Industry Bets Its Future on Batteries,2021-02-16T10:00:15+0000,Carmakers government agencies and investors are pouring money into battery research in a global race to profit from emission-free electric cars.,The New York Times
150,How Green Are Electric Vehicles?,2021-03-02T19:30:01+0000,In short: Very green. But plug-in cars still have environmental effects. Here’s a guide to the main issues and how they might be addressed.,The New York Times
151,Electric Cars Are Coming. How Long Until They Rule the Road?,2021-03-11T03:26:13+0000,A new car sold today can last a decade or two before retiring. This “fleet turnover” poses a major challenge for climate policy.,The New York Times
152,It Looks Like a Vespa Rides Like a Vespa but Doesn’t Smell Like a Vespa,2021-04-01T10:00:11+0000,An Irish mechanic in London has developed a kit to transform classic Italian scooters into clean-riding electric machines.,The New York Times
153,The Robots Are Coming … to Mow Your Lawn,2021-04-06T09:00:20+0000,Gas-power yard equipment spews noise and pollutants. Newer models using batteries or electricity are quieter and greener and might even manage themselves.,The New York Times
154,The Lithium Gold Rush: Inside the Race to Power Electric Vehicles,2021-05-06T14:25:54+0000,A race is on to produce lithium in the United States but competing projects are taking very different approaches to extracting the vital raw material. Some might not be very green.,The New York Times
155,The electric-vehicle race is creating a gold rush for lithium raising environmental concerns.,2021-05-07T09:48:47+0000,,The New York Times
156,Biden Administration Moves to Fix Supply Chain Bottlenecks,2021-06-08T09:00:21+0000,A swath of recommendations calls for more investments new supply chains and less reliance on other countries for crucial goods.,The New York Times
157,Shell Gets Greener Even as Climate Advocates Say ‘Go Faster’,2021-06-18T09:00:31+0000,Royal Dutch Shell though still reliant on profits from fossil fuels is investing more in renewable energy. Critics say the changes have to come quicker.,The New York Times
158,Why Geology Is Our Destiny,2021-06-22T06:30:14+0000,A visit to the renovated hall of gems and minerals at the American Museum of Natural History reveals how the cosmos works in the real world.,The New York Times
159,Has the Carbontech Revolution Begun?,2021-06-23T09:00:28+0000,Science can now pull carbon out of the air. For that to make a difference though businesses need to find profitable places to put it.,The New York Times
160,How America Can Unleash the Untapped Power of Its Regions,2021-07-14T09:00:11+0000,There's a way to  connect Washington to local needs and capabilities across the country. ,The New York Times
161,Energy Department Targets Vastly Cheaper Batteries to Clean Up the Grid,2021-07-14T11:00:10+0000,The Biden administration's push for more wind and solar power poses big challenges. New types of energy storage could help — but only if they get much cheaper.,The New York Times
162,The Energy Department aims for cheaper batteries to make clean energy more viable.,2021-07-14T12:40:42+0000,,The New York Times
163,Can Silicon Valley Find God?,2021-07-16T09:00:04+0000,Artificial intelligence promises to remake the world. These believers are fighting to make sure thousands of years of text and tradition find a place among the algorithms.,The New York Times
164,A Renewal for IBM Campuses Once Home to Punch Cards and Circuit Boards,2021-07-20T13:00:17+0000,When Big Blue left upstate New York economic pain ensued. But the large complexes left behind are ideally suited for large-scale production and shipping local officials say.,The New York Times
165,Toyota Led on Clean Cars. Now Critics Say It Works to Delay Them.,2021-07-25T23:29:33+0000,The auto giant bet on hydrogen power but as the world moves toward electric the company is fighting climate regulations in an apparent effort to buy time.,The New York Times
166,The Mighty Pickup Slims Down,2021-09-08T07:00:09+0000,Small trucks from Ford and Hyundai are joining a growing field of electric models as America’s go-to vehicle adapts to an evolving market.,The New York Times
167,Your Batteries Are Due for Disruption,2021-09-08T16:00:11+0000,This week a more efficient type of battery arrives in a wristband fitness tracker. It could soon reach smart glasses cars and even aircraft.,The New York Times
168,Building a More Sustainable Car From Headlamp to Tailpipe,2021-09-09T10:00:11+0000,Vehicle makers shy away from traditional materials that are hard to recycle like leather and plastics and look to repurpose alternatives that still convey quality.,The New York Times
169,Fears of a ‘bottleneck recession’: How shortages are hurting Germany.,2021-10-05T10:44:41+0000,,The New York Times
170,Tesla’s quarterly profit nearly quintuples to $1.6 billion as car sales surge.,2021-10-20T20:09:33+0000,The automaker also reported a big jump in revenue to $13.8 billion from $8.8 billion a year ago as sales of the Model Y continue to rise.,The New York Times
171,In Australia It’s ‘Long Live King Coal’,2021-10-21T09:00:30+0000,The country has fallen behind other developed nations in its commitment to slashing carbon emissions. Neither fires nor international pressure has pushed it away from coal and other fossil fuels.,The New York Times
172,Climate Change Poses a Widening Threat to National Security,2021-10-21T15:41:30+0000,Intelligence and defense agencies issued reports warning that the warming planet will increase strife between countries and spur migration.,The New York Times
173,How Can the Watch Industry Be Greener?,2021-11-01T09:15:13+0000,Ten observers offer their recommendations from limiting promotional travel to downsizing those lavish presentation boxes.,International New York Times
174,The Popularity of E-Bikes Isn’t Slowing Down,2021-11-08T10:00:11+0000,Motorized bicycles are outselling all-electric cars and have the potential to transform urban transit.,The New York Times
175,6 Automakers and 30 Countries Say They’ll Phase Out Gasoline Car Sales,2021-11-10T00:15:25+0000,Ford G.M. and Mercedes agreed to work toward selling only zero-emissions vehicles by 2040. But Toyota Volkswagen and Nissan-Renault did not join the pledge.,The New York Times
176,America Isn’t Ready for the Electric-Vehicle Revolution,2021-11-10T21:08:31+0000,Its battery supply chain runs through China and that’s not changing any time soon.,The New York Times
177,Can Hydrogen Save Aviation’s Fuel Challenges? It’s Got a Way to Go.,2021-11-15T10:00:13+0000,Small experimental hydrogen-powered planes are paving the way for net-zero carbon aviation by 2050. But the route is rocky.,The New York Times
178,How Are Electric Vehicle Batteries Made?,2021-11-20T10:00:01+0000,The worldwide shift to electric vehicles is critical in the fight against climate change. Here's how the most important part of these cars is made.,The New York Times
179,A Power Struggle Over Cobalt Rattles the Clean Energy Revolution,2021-11-20T10:00:27+0000,The quest for Congo’s cobalt which is vital for electric vehicles and the worldwide push against climate change is caught in an international cycle of exploitation greed and gamesmanship.,The New York Times
180,How the U.S. Lost Ground to China in the Contest for Clean Energy,2021-11-21T10:00:20+0000,Americans failed to safeguard decades of diplomatic and financial investments in Congo where the world’s largest supply of cobalt is controlled by Chinese companies backed by Beijing.,The New York Times
181,On the Banks of the Furious Congo River a 5-Star Emporium of Ambition,2021-12-07T10:00:29+0000,As the clean energy revolution upends the centuries-long lock of fossil fuels on the global economy dealmakers and hustlers converge on the Fleuve Congo Hotel.,The New York Times
182,South Korea Has Long Wanted Nuclear Subs. A New Reactor Could Open a Door.,2021-12-13T10:00:17+0000,The country plans to build a small modular reactor for marine propulsion raising questions of whether it eventually intends to develop a nuclear submarine despite a U.S. treaty.,The New York Times
183,You Can Build an Ebike. Yes You.,2021-12-16T00:00:00+0000,Just like regular bikes electric bikes experienced a pandemic boom giving more people an alternative way of commuting picking up the kids or just getting outside. But you might already have a functioning bike and wonder if you need to invest i...,Wirecutter
184,Green-Energy Race Draws an American Underdog to Bolivia’s Lithium,2021-12-16T08:00:17+0000,Chinese and Russian industrial giants seek to tap mineral deposits vital to electric cars. A Texas entrepreneur has his own strategy: the long game.,The New York Times
185,Why a Chinese Company Dominates Electric Car Batteries,2021-12-22T08:00:16+0000,Beijing gave CATL lavish subsidies a captive market of buyers and soft regulatory treatment helping it to control a crucial technology of the future.,The New York Times
186,How China Makes Electric Car Batteries,2021-12-22T10:00:02+0000,Everyone knows the biggest winner from electric cars: Tesla. Few outside the auto industry know the other big winner: the battery maker CATL.,The New York Times
187,In Congo Bolivia and Beyond Where the Green Future Begins,2021-12-26T10:00:13+0000,The Times’s Race to the Future series is focused on the competition for electric-car resources that will shape the 21st century.,The New York Times
188,As Miners Chase Clean-Energy Minerals Tribes Fear a Repeat of the Past,2021-12-27T16:43:45+0000,Mining the minerals that may be needed for a green energy revolution could devastate tribal lands. The Biden administration will be forced to choose.,The New York Times
189,Chile Writes a New Constitution Confronting Climate Change Head On,2021-12-28T15:23:50+0000,Chile has lots of lithium which is essential to the world’s transition to green energy. But anger over powerful mining interests a water crisis and inequality has driven Chile to rethink how it defines itself.,The New York Times
190,Can a Tiny Territory in the South Pacific Power Tesla’s Ambitions?,2021-12-30T10:00:42+0000,Nickel is vital to electric car batteries but extracting it is dirty and destructive. A plant with a turbulent history in New Caledonia is about to become an experiment in doing it better.,The New York Times
191,Mining of Lithium Key to the Climate Fight Faces New Scrutiny in Chile,2022-01-06T12:50:25+0000,Politicians have called for a pause in new mining contracts for lithium which is in high demand for electric car batteries but is at the heart of a debate in Chile over mines water rights and inequality.,The New York Times
192,‘Miserable and Dangerous’: A Failed Chinese Promise in Serbia,2022-01-23T01:00:10+0000,Poor conditions for Vietnamese workers building a $900 million tire factory underscore a chasm between the promise of investment from China and grim realities on the ground.,The New York Times
193,Why This Could Be a Critical Year for Electric Cars,2022-02-08T08:00:13+0000,Booming in a depressed market battery-powered vehicles are a plus for the climate but pose a big threat to carmakers and parts suppliers that are slow to change.,The New York Times
194,The West’s Delusion of Energy Independence,2022-02-22T10:00:13+0000,America must secure the raw materials that a clean energy future requires. ,The New York Times
195,The Economic Stakes of the Ukraine Crisis,2022-02-22T13:06:29+0000,The global implications of the escalating conflict remain hard to figure.,The New York Times
196,The U.S. is planning to boost supply of minerals needed for electric vehicles.,2022-02-22T22:31:39+0000,The White House effort is part of a push to reduce America’s dependence on foreign products particularly those from China.,The New York Times
197,Ukraine and the Mirage of Energy Independence,2022-02-25T16:49:19+0000,Domestic oil and gas production in the U.S. boomed in recent years. But the country and its allies remain reluctant to impose sanctions on Russian energy that would damage their economies.,The New York Times
198,After Burning for Days a Ship Carrying Thousands of Luxury Cars Sinks,2022-03-01T17:40:05+0000,The ship the Felicity Ace was carrying about 4000 vehicles including Bentleys and Porsches when it caught fire on Feb. 16. On Tuesday morning it sank.,The New York Times
199,Fitbit recalls more than one million smart watches over a burn risk.,2022-03-02T12:00:06+0000,The company which is owned by Google received at least 174 reports of the battery in its Ionic smart watch overheating leading to 118 reported injuries.,The New York Times
200,Ford Splits Into Electric and Gas Divisions to Speed Up Transition,2022-03-02T12:05:56+0000,E.V. operations will focus on technology and growth while the traditional business continues to chase profits. “You can’t have people work on both at the same time” the chief executive said.,The New York Times
201,Before Invasion Ukraine’s Lithium Wealth Was Drawing Global Attention,2022-03-02T15:38:59+0000,Chinese and Australian investors had been lining up to explore for lithium a metal that is critical to batteries and the world’s transition to clean energy.,The New York Times
202,What Putin’s war could mean for fossil fuels,2022-03-04T17:23:52+0000,Also in this edition of the newsletter: A map that shows imperiled biodiversity in the lower 48 states.,The New York Times
203,Car Industry Woes Show How Global Conflicts Will Reshape Trade,2022-03-07T10:00:17+0000,The war in Ukraine has highlighted the risks of doing business with authoritarian countries — not just Russia but also China.,The New York Times
204,Carmakers Race to Control Next-Generation Battery Technology,2022-03-07T10:00:30+0000,The prize: batteries that would be cheaper faster to charge and less vulnerable to raw material shortages. Whoever gets there first will have a major advantage.,The New York Times
205,Rivian Pares Delivery Targets for 2022 Citing Supply Problems,2022-03-10T23:44:54+0000,The company said it expected to produce only 25000 electric vehicles this year adding a new cloud to its outlook only months after a hot I.P.O.,The New York Times
206,Frustrated With Utilities Some Californians Are Leaving the Grid,2022-03-13T21:02:51+0000,Citing more blackouts wildfires and higher electricity rates a growing number of homeowners are choosing to build homes that run entirely on solar panels and batteries.,The New York Times
207,How an Electric Truck Factory Became a Lightning Rod in Georgia,2022-03-14T14:00:54+0000,The governor hailed the factory as an economic boon that would put Georgia at the vanguard of the green economy. Not everyone liked the idea.,The New York Times
208,How the War in Ukraine Could Slow the Sales of Electric Cars,2022-03-18T07:00:11+0000,The price of nickel an essential ingredient in most batteries has soared because of fear that Russian supplies could be cut off.,The New York Times
209,Biden Invokes Cold War Statute to Boost Critical Mineral Supply,2022-03-31T18:01:40+0000,The action aims to enhance American production of crucial materials for electric vehicles defense systems and other technologies.,The New York Times
210,Stopping Climate Change Is Doable but Time Is Short U.N. Panel Warns,2022-04-04T15:00:16+0000,A major new scientific report offers a road map for how countries can limit global warming but warns that the margin for error is vanishingly small.,The New York Times
211,Koch Industries’ Bet on Batteries,2022-04-06T12:35:18+0000,The company is plugging $30 million into a start-up co-founded by one of Silicon Valley’s favorite scientists.,The New York Times
212,Hyundai’s Ioniq 5 Nods to Past While Pushing Toward E.V. Future,2022-04-07T09:00:29+0000,For now supply may be constrained but Hyundai is putting a big bet on building electrics for the American market.,The New York Times
213,Truck Makers Face a Tech Dilemma: Batteries or Hydrogen?,2022-04-11T09:00:19+0000,Under pressure to cut emissions truck manufacturers are choosing between batteries and hydrogen fuel cells. Wagering incorrectly could cost them billions of dollars.,The New York Times
214,Jim Farley Tries to Reinvent Ford and Catch Up to Elon Musk and Tesla,2022-04-18T07:00:10+0000,Ford’s chief executive is about to introduce an electric F-150 pickup truck that could determine whether the automaker can survive and thrive in an industry dominated by Tesla.,The New York Times
215,The Next Hurdle in Europe’s Energy Transition: Being More Enticing Than NFTs,2022-04-18T09:00:17+0000,Financing the next generation of green energy technologies means larger investments and getting venture capitalists to turn their attention away from “fast money.”,The New York Times
216,Tesla’s profits jumped in the first quarter but challenges loom.,2022-04-20T20:34:10+0000,The electric carmaker had to close an important factory in Shanghai because of China’s efforts to stamp out a coronavirus outbreak.,The New York Times
217,Biden Administration Begins $3 Billion Plan for Electric Car Batteries,2022-05-02T14:07:19+0000,The Biden administration is planning a major shift to electric vehicles but experts say it requires a secure resilient supply of critical minerals.,The New York Times
218,Who Will Profit From Saving Scotland’s Bogs?,2022-05-05T09:00:02+0000,Repairing the country’s extensive peatlands could help the world mitigate climate change. It could also make a fast-fashion billionaire even richer.,The New York Times
219,Hurdle to Broad Adoption of E.V.s: The Misperception They’re Unsafe,2022-05-05T10:00:08+0000,Fully electric vehicles have fewer fires than gasoline-powered and hybrid cars and their crash protection is at least equivalent.,The New York Times
220,What Students Are Saying About Responsibility Bad Behavior in Youth Sports and Electric Cars,2022-05-05T19:28:52+0000,Teenage comments in response to our recent writing prompts and an invitation to join the ongoing conversation.,The New York Times
221,We Can’t Drill Our Way to Energy Security,2022-05-14T09:00:07+0000,Investing in clean energy efficiency and electrification is the only path to get us there.,The New York Times
222,Stocks Have Been Falling. I’m Still Buying Steadily.,2022-05-19T16:06:14+0000,Is this is a good time to buy stocks readers ask? Yes our columnist says but only if you can handle further losses and don’t try to outsmart the market.,The New York Times
223,An Artist Comfortable in Any Medium Even Lithium,2022-06-03T15:00:08+0000,Lydia Ourahmane creates sprawling installations that challenge geopolitical borders.,The New York Times
224,Red Flags for Forced Labor Found in China’s Car Battery Supply Chain,2022-06-20T09:00:23+0000,Ties to potentially coercive labor practices could prove a problem for an industry that is heavily dependent on China once a new law barring Xinjiang products goes into effect.,The New York Times
225,More Than 400000 Solar-Powered Umbrellas Recalled Over Fire Risk,2022-06-26T18:34:02+0000,The U.S. Consumer Product Safety Commission recalled the umbrellas which were sold at Costco because of the risk of lithium-ion batteries overheating.,The New York Times
