headline,date,stock
36 Biggest Movers From Friday,26/11/2018,CBAK
35 Stocks Moving In Friday's Mid-Day Session,23/11/2018,CBAK
"CBAK Energy shares up 23% on very heavy volume. While no news specific to the company seems to be impacting shares, the stock is likely seeing increased interest amid attention to Chinese momentum issues.",23/11/2018,CBAK
"Stocks Which Set New 52-Week Low Yesterday, August 8th",09/08/2018,CBAK
"Stocks Which Set New 52-Week Low Yesterday, August 7th",08/08/2018,CBAK
"Stocks Which Set New 52-Week Low Yesterday, August 6th",07/08/2018,CBAK
"Stocks Which Set New 52-Week Low Yesterday, August 2nd",03/08/2018,CBAK
"Stocks Which Set New 52-Week Low Yesterday, August 1st",02/08/2018,CBAK
"Stocks Which Set New 52-Week Low Yesterday, July 31",01/08/2018,CBAK
UPDATE: Not Seeing News In Chinese Momentum Stocks To Justify Dramatic Price Action,05/01/2018,CBAK
"Chinese Nano-Cap Momentum Stocks Sharply Higher Fri: ChinaCache, China Info Tech Shares Up 77%, The9 40%, China Green Ag, China Techfaith 19%, China Ceramics, Origin Agritech 16%, China Recycling, China Lending, China New Borun, Dragon Victory, Yulong 10%",05/01/2018,CBAK
"Electric Vehicle/Battery Cos. Higher Wed., Likely On The Heels Of EV News Out Of GM, Ford: Kandi Technologies Up 22%, CBAK Energy Up 10%, Energous Up 4.4%",04/10/2017,CBAK
"Companies Holding Shareholder Meetings Today Include: CBAK Energy, China Ceramics, Conagra Brands, Frontline, Golden Ocean, Intuitive Surgical, and Ship Finance",22/09/2017,CBAK
Mid-Afternoon Market Update: Dow Gains 125 Points; Crude Oil Up 5%,16/03/2016,CBAK
Mid-Day Market Update: Peabody Energy Slides Amid Possible Bankruptcy; Bio Blast Pharma Shares Surge,16/03/2016,CBAK
Mid-Morning Market Update: Markets Edge Higher; Oracle Earnings Top Views,16/03/2016,CBAK
China BAK Battery +30% Premarket @$3.00 Following Announcement of Purchase Contract with Sysgration,16/03/2016,CBAK
China BAK Announces Purchase Contract with Sysgration,16/03/2016,CBAK
"Chmn Li Buys 3,000,000 Shares of China BAK Battery @$2.40/Share -Form 4",08/03/2016,CBAK
Price Declines in Energy Storage to Facilitate Global Growth -DigiTimes,26/11/2015,CBAK
5 NASDAQ Technology Stocks With The Highest ROA,08/07/2015,CBAK
5 NASDAQ Technology Stocks With The Highest Profit Margin,15/06/2015,CBAK
"China BAK Battery, Inc. Reports Q3 EPS of $(0.78)",19/08/2014,CBAK
UPDATE: China BAK Shares Rise 16% Premarket Following Announcement of Agreement With Dalian Institute,28/07/2014,CBAK
Seeking Alpha Article Says Best Case Scenario Puts China Bak Battery's New Book Value at Around $0.10/Share,22/07/2014,CBAK
China Battery Spikes Higher,14/07/2014,CBAK
Morning Market Losers ,07/07/2014,CBAK
"Stocks to Watch for October 14, 2013",14/10/2013,CBAK
Morning Market Movers ,14/10/2013,CBAK
ChinaBak Soars 65% on False Rumor,06/06/2013,CBAK
Rumor of China Bak Battery Deal with Kandi Denied by Company's Investor Relations Department,06/06/2013,CBAK
China Bak Battery Spikes Higher on Report they Make Battery for Kandi Car,05/06/2013,CBAK
Stocks Hitting 52-Week Lows,30/04/2013,CBAK
Danny Pan Appointed CFO of China BAK,08/01/2013,CBAK
"China BAK Battery, Inc. Reports Q4 EPS of $(0.33), Down 65% YOY; Revenue of $55.10M, Up 9% YOY",20/12/2012,CBAK
China BAK Battery Regains NASDAQ Listing Compliance for Independent Director Requirements ,29/11/2012,CBAK
Chinese Stocks Perk Up: Be Alert For More 80% Gainers,26/11/2012,CBAK
China BAK Battery Regains Compliance with NASDAQ Minimum Bid Price Requirement ,15/11/2012,CBAK
China BAK Announces Appointment of New Independent Director ,10/09/2012,CBAK
"Benzinga's Microcap Movers for Thursday August 23, 2012",23/08/2012,CBAK
"Financial Breakfast: Morning News Summary for July 25, 2012",25/07/2012,CBAK
China BAK Enters into Strategic Cooperation with FAWER ,25/07/2012,CBAK
"Financial Breakfast: Morning News Summary for July 18, 2012",18/07/2012,CBAK
China BAK Announces New Contract to Supply Cylindrical Battery Cells to AC Propulsion ,18/07/2012,CBAK
From EArlier: China BAK to Supply High-Power Batteries to Brilliance Auto Group  ,14/06/2012,CBAK
China BAK Regains Compliance with NASDAQ Minimum Bid Price Requirement ,11/04/2012,CBAK
China BAK Announces Additional Contract to Supply High-Power Batteries to Chery Automobile ,09/04/2012,CBAK
China BAK Receives $1.9 Million Government Subsidy for its Battery Module Project; Updates Progress on High-Power Battery Orders ,03/04/2012,CBAK
China BAK's High-Power Batteries to Fuel Korean Electric Motors ,29/03/2012,CBAK
China BAK Achieves Progress in OEM Market ,26/03/2012,CBAK
China BAK Receives a New Contract to Supply High-Power Batteries to Chery Automobile,14/02/2012,CBAK
"Financial Breakfast: Morning News Summary for December 7, 2011",07/12/2011,CBAK
China BAK Receives NASDAQ Noncompliance Notice ,27/10/2011,CBAK
UPDATE: China Bak Sees Unit Bak Tianjin Accounts for 15% FY2012 Rev; in Talks for Financing to Raise Up to $50M,21/09/2011,CBAK
China BAK Provides Business Outlook for Fiscal Year 2012 ,21/09/2011,CBAK
A Peek Into The Market Before The Trading Starts,01/09/2011,CBAK
China BAK Enters into Strategic Cooperation with HAITEC ,01/09/2011,CBAK
China Bak Battery Reports Q3 EPS $(0.12); Revenues $47.1M vs $56.1M Est,02/08/2011,CBAK
China Bak Battery Spiking Higher on Heavy Volume,22/07/2011,CBAK
China Bak Battery Spiking Higher on Heavy Volume,18/07/2011,CBAK
China BAK Successfully Passes Samsung Factory Audit,30/06/2011,CBAK
Morning Market Movers,09/06/2011,CBAK
China BAK Battery Seeing A Surge In Customer Demand For Its E-bike Battery Business Due To The Recent Government Suspension Of Lead-acid Battery Manufacturing In China,09/06/2011,CBAK
Hearing China's Foton Motor Co. To Use China Bak Lithium-ion Batteries (CBAK),09/05/2011,CBAK
"Top Electronic Stock Picks to buy on 5/6/11- NED, PTIX, PWER, MOLXA, AMSC, WGA, JBL, TO, BWC, MOLX, TEL, SANM, UQM",06/05/2011,CBAK
"Benzinga's Top Pre-Market NASDAQ Gainers (TMRK, CBAK, SVA, RVBD)",28/01/2011,CBAK
Options Brief: China BAK Battery (CBAK),16/12/2010,CBAK
Advanced Battery Tumbles on Stock Sale,30/11/2010,CBAK
"Benzinga's Top Pre-Market NASDAQ Losers (MCOX, CBAK, STX, ASML)",30/11/2010,CBAK
China BAK Appoints Marcus Cui as Interim CFO,30/11/2010,CBAK
China BAK Reports Fourth Quarter EPS of $(0.08),30/11/2010,CBAK
"Stocks Crossing Over 50 Day and 200 Day Moving Averages (AAN, CBAK, CCNE)",24/11/2010,CBAK
China BAK Awarded a New Contract,10/09/2010,CBAK
"Benzinga’s Top Pre-Market Losers (PLXT, AMED, ZRAN, CBAK, AINV)",27/04/2010,CBAK
Electric Car Stocks,08/03/2010,CBAK
"China BAK, Conn's Are Early Winners",09/02/2010,CBAK
"Benzinga’s Top Pre-Market Gainers (LXK, ANN, CMI, XOM, CITP, CBAK)",02/02/2010,CBAK
"Company News for December 30, 2009 - Corporate Summary",30/12/2009,CBAK
"Benzinga’s Top Pre- Market Losers (CBAK, JASO, JNJ, QGEN, ACAS, MPEL, EGLE)",30/12/2009,CBAK
China BAK Battery Inc.’s (NASDAQ: CBAK) Declines After CFO Denied Rumors,30/12/2009,CBAK
"Benzinga’s Pre-Market Gainers (AMKR, CBAK, STEC, APWR, XING)",23/12/2009,CBAK
"Benzinga’s Top Pre- Market Gainers (IAG, CBAK, JBL, XING, AMKR, JASO, INTC)",22/12/2009,CBAK
China BAK Battery   (CBAK)   Fiscal 2009 Q4 Earnings Conference Call,24/11/2009,CBAK
A New Smart Grid ETF (GRID),17/11/2009,CBAK
China BAK (CBAK) to Raise $20.6 Million in Registered Direct Offering,22/10/2009,CBAK
"Today’s Top Gainers (EJ,CFW,MVIS,CBAK,DSCO)",30/09/2009,CBAK
"New 52-Week High Stocks (VMED,JBL,ITUB,MVIS,CBAK)",30/09/2009,CBAK
