date,headline,sentiment.polarity
22/01/2018,"MGX Minerals Announces Spodumene Mineralization Intersected on New Northeast Dyke at Case Lake; Drill Program Increased to 3,000 metres",0.968
18/01/2018,NetworkNewsWire Announces Publication on Lithium Producers on Watch List for Investment,0.989
18/01/2018,MGX Minerals Announces 2.07 % Li2O and 213.96 ppm Ta Over 18.0 m at Case Lake,0.978
17/01/2018,NetworkNewsWire Announces Publication on M&A Potential as Lithium Suppliers Amp-Up Production,0.992
17/01/2018,Global Geoscience appoints Amec Foster Wheeler for Rhyolite Ridge PFS,0.994
12/01/2018,NetworkNewsWire Announces Publication on Global Lithium Push and Opportunities for Suppliers,0.997
12/01/2018,Testing Update 99.99% Magnesium left behind in Lithium host rock,0.999
11/01/2018,NetworkNewsWire Announces Publication on the Growing Value of the Lithium Market,0.989
10/01/2018,MGX Minerals Announces Commencement of Drill Program at Case Lake Lithium Project,0.949
08/01/2018,Alabama Graphite Announces Reporting of Financial Results for Fiscal 2017 and Provides Update,0.999
05/01/2018,MGX Minerals Announces 17.0 Metres of 1.81% Li2O at Case Lake Lithium Project,0.962
22/12/2017,Liberty One Lithium Initiates Development Plans for 2018,0.999
19/12/2017,Enertopia Provides 2017 Year-end Update,0.997
13/12/2017,"Westwater Resources, Inc. to Acquire Alabama Graphite Corp.",1
13/12/2017,Pure Energy Minerals Receives Permit for Drilling  at Terra Cotta Lithium Project,0.997
06/12/2017,Montero Confirms Spodumene as the Dominant Lithium Mineral at the Soris Lithium Project in Namibia,0.995
06/12/2017,"Strategic Alliance for Lithium Brine Exploration in Railroad Valley, Nevada",0.998
06/12/2017,Pure Energy Minerals Announces Completion of Acquisition of Clayton NE Claims,0.997
05/12/2017,"TGI Solar Power Group, Inc. Electric Vehicles Update",0.939
04/12/2017,MGX Minerals’ Joint Venture Partner Power Metals Samples up to 7.14% Li2O on Surface at Case Lake Lithium Property,0.987
29/11/2017,Majority of Tenements in Pilbara Granted,0.986
28/11/2017,TGI Solar Power Is Pleased To Announce That It Has Signed a MOU with Electric Cars Ltd of Kiev,0.966
27/11/2017,Global Geoscience Appoints Senior Executive to Manage Rhyolite Ridge Lithium‐Boron Project,0.994
27/11/2017,"MGX Minerals Announces New Discoveries and Completion of 50 Hole Drill Program At Case Lake Lithium, Ontario; 20 Hole Follow-up Drill Program Set For January 2018",0.985
23/11/2017,Lithium Target at Tambourah With Rock Chip Assays Up to 1.47% Li2O,0.998
16/11/2017,MGX Minerals Announces Case Lake Lithium Project Drilling Nears Completion,0.995
08/11/2017,Pure Energy Minerals Announces Further Expansion of Clayton Valley Lithium Project,0.999
08/11/2017,"Pacific Rim Cobalt Provides Corporate Update Post Successful Acquisition, Financing and Listing on the Canadian Securities Exchange",0.997
02/11/2017,MGX Minerals’ Joint Venture Partner Power Metals Drills 26.0 Metres of 1.94% Li2O and 323.75 ppm Ta at Case Lake Property,0.993
31/10/2017,Global Geoscience: Quarterly Activities Report For the period ending 30 September 2017,0.993
31/10/2017,Global Geoscience Doubles High-Grade Lithium-Boron Mineral Resource,0.999
31/10/2017,Pure Energy Minerals Announces Positive New Results From Geophysical Exploration at Its Clayton Valley Lithium Project,0.997
16/10/2017,Alabama Graphite Provides Corporate Update,1
13/10/2017,Path Cleared for Grant and Exploration of Macarthur Minerals’ Pilbara Tenements Prospective for Conglomerate Gold and Lithium,0.995
11/10/2017,Pure Energy Minerals Announces MOU With Major Technology and Engineering Firms for Innovative Lithium Pilot Plant,1
10/10/2017,Alabama Graphite Announces Letter of Intent (LOI) to Supply Battery-Ready Graphite Products to U.S. Lead-Acid Battery Manufacturer,0.999
04/10/2017,Artemis Resources Paid Option Fee to Secure Macarthur Minerals Tenements Prospective for Conglomerate Gold in Pilbara Region – Western Australia,0.998
04/10/2017,Discover Battery Appoints New Director - Product & Business Development (Advanced Energy Systems),0.996
02/10/2017,Pure Energy Minerals Announces Positive Results From Geophysical Program at Its Terra Cotta Lithium Project in Argentina,0.997
29/09/2017,Southern Lithium Announces Amendment to Definitive Agreement with Millennial Lithium,0.995
28/09/2017,A$30 Million Fully Underwritten Placement to Advance Rhyolite Ridge Lithium-Boron Project,0.995
28/09/2017,Pure Energy Minerals Completes Non-Brokered Private Placement,0.981
28/09/2017,Macarthur Minerals Announces First Deal on Conglomerate Gold With Artemis Resources in Pilbara Region - Western Australia,0.999
25/09/2017,Rhyolite Ridge Lithium-Boron Project Further De-Risked With Procurement of Water Rights,0.984
21/09/2017,"MGX Minerals Intersects Broad Intervals of Spodumene Pegmatite Mineralization at Case Lake, Ontario Lithium Project",0.963
21/09/2017,UPDATE -- Alabama Graphite Receives Positive Evaluation Results for ULTRA-PMG™ product from RSR Technologies; Improved Dynamic Charge Acceptance (DCA) by 194%,0.999
21/09/2017,Alabama Graphite Receives Positive Evaluation Results for ULTRA-PMG™ product from RSRT Technologies; Improved Dynamic Charge Acceptance (DCA) by 194%,0.999
14/09/2017,Millennial Lithium Announces Upsize to Previously Announced Public Offering to C$10 million,0.995
13/09/2017,Pure Energy Minerals Announces Non-Brokered Private Placement,0.981
31/08/2017,"Further High-Grade Mineralisation Intercepted at Rhyolite Ridge Lithium-Boron Project in Nevada, USA",0.995
29/08/2017,"MGX Minerals Announces Lithium, Magnesium, Silicon, and REE Project Updates",0.999
28/08/2017,Southern Lithium Completes Exploration Payment Schedule to Millennial,0.994
22/08/2017,"Southern Lithium Announces Detail of Brine Density on the Cruz Property, Salta Argentina",0.997
21/08/2017,Macarthur Minerals Announces Update on Iron Ore Projects and Private Placement,0.996
16/08/2017,"Global Geoscience Intercepts High-Grade Lithium-Boron Within and Beyond Existing Resource at Rhyolite Ridge in Nevada, USA",0.99
15/08/2017,Southern Lithium Announces Closing of First Tranche of the Private Placement,0.998
14/08/2017,Macarthur Minerals Acquires 15% of Western Australian Gold and Lithium Project,0.998
08/08/2017,"Southern Lithium Provides Update on Phase One Exploration Program at Cruz Property, Salta Province, Argentina",0.997
08/08/2017,"Standard Lithium Announces Positive Results of Geophysical Survey at Bristol Lake, Mojave Project, California",0.995
02/08/2017,MGX Minerals To Acquire Petrolithium and Spodumene-Bearing Pegmatite Project Portfolio from Power Metals Corp.,0.997
02/08/2017,Standard Lithium to Acquire Lithium Brine Exploration and Production Rights,0.994
01/08/2017,MGX Minerals Commences Pilot Plant Testing for Li-1 Lithium Recovery System,0.982
26/07/2017,Southern Lithium Announces Non-Brokered Private Placement,0.995
25/07/2017,"Macarthur Minerals Reports Surface Grades Up to 405 ppm Lithium in Railroad Valley, Nevada",0.991
12/07/2017,Pure Energy Minerals Commences Surface Exploration Program at Its Terra Cotta Project in Argentina,0.999
11/07/2017,Macarthur Minerals Makes Final Payment for Acquisition of Stonewall Lithium Brine Project,0.995
06/07/2017,MGX Minerals: Engineering Partner PurLucid Treatment Solutions Announces Patent Filing and Exclusive License for Low Energy Process for Rapid Extraction of Lithium and Other Minerals from Oil Wastewater,0.788
28/06/2017,Standard Lithium Appoints Dr. Andy Robinson to Board of Directors,0.998
27/06/2017,MGX Minerals Announces Completion of Large Scale Laboratory Petrolithium Extraction System,0.961
26/06/2017,Pure Energy Minerals Announces Positive Preliminary Economic Assessment and Plans for Pilot Plant at Its Clayton Valley Project,1
22/06/2017,Standard Lithium Raises $7.4 Million in Oversubscribed Financing,0.997
15/06/2017,"Traumatic Brain Injury Can Be Healed, according to the Journal of American Physicians and Surgeons",-0.981
15/06/2017,"Macarthur Minerals Stakes New Claims in Railroad Valley, Nevada With Surface Grades Up to 300 ppm Lithium",0.992
14/06/2017,Pure Energy Adds Top Tier Finance Expertise With Appointment of Mr. Paul Zink as New Chief Financial Officer,0.998
06/06/2017,Macarthur Minerals Reports Potential for Cobalt in Western Australia at its Iron Ore Projects,0.998
01/06/2017,Macarthur Minerals Discovers New Lithium Pegmatite Swarms at Marble Bar in the East Pilbara Region of Western Australia,0.993
31/05/2017,Pure Energy Closes Acquisition of Clayton Valley Properties and $2 Million Strategic Investment From Lithium X,1
23/05/2017,"Global Geoscience Welcomes Two New Non-Executive Directors, Alan Davies and John Hofmeister",0.997
14/05/2017,"Southern Lithium Acquires Additional Claims to Bring Total to 90.3 sq. km in the Pocitos Salar Basin in Salta Province, Argentina",0.996
11/05/2017,Pure Energy Enters Agreements With Lithium X to Expand Clayton Valley Properties and Receive $2 Million Strategic Investment,1
09/05/2017,"Pure Energy Minerals Discovers Higher Grade Lithium at Depth in New Wells at Clayton Valley South, Nevada",0.999
09/05/2017,Southern Lithium Updates Website,0.995
08/05/2017,Pure Energy Minerals Closes Non-Brokered Private Placement,0.995
04/05/2017,MGX Minerals Signs Water Handling and Lithium Extraction Demonstration Agreement with Major Oil and Gas Operator,0.987
02/05/2017,Global Geoscience Limited Announces Exceptional Leach Results and Exercise of Option for 100% Ownership,0.996
02/05/2017,MGX Minerals Finalizes Acquisition of PurLucid Treatment Solutions Inc. - Becomes Full-Service Lithium Extraction and Water Treatment Option for O&G Developers,0.998
26/04/2017,MGX Minerals Files Technical Report on Rapid Lithium Extraction Process,0.977
24/04/2017,Appointment of James D. Calaway as Non-Executive Chairman,0.998
20/04/2017,MGX Minerals Receives Independent Confirmation of Rapid Lithium Extraction Process,0.987
19/04/2017,Pure Energy Minerals Appoints Former Lithium Executive to Board of Directors,0.998
18/04/2017,Southern Lithium Appoints Miguel Tobar to the Newly Created Advisory Board,0.996
30/03/2017,Southern Lithium Announces Exploration Plans For the Cruz Lithium Property in Argentina,0.998
27/03/2017,"Pure Energy Minerals Completes Fourth Successful Lithium Brine Pumping Test at Clayton Valley South Project, Nevada",0.998
23/03/2017,"MGX Minerals Acquires 110,000 Acres of Paradox Basin, Utah Oil and Gas Leases",0.995
16/03/2017,Pure Energy Minerals Appoints Walter Weinig as Vice President - Projects & Permitting,0.999
09/03/2017,"Pure Energy Minerals Closes Purchase Option Agreement on Terra Cotta Project, Argentina",0.999
06/03/2017,MGX Minerals Reports Advancement of Lithium Filtration Technology - 1600mg/L Li Concentrate from 67 mg/L Li Petro Lithium Brine,0.997
06/03/2017,"Pure Energy Minerals Completes Third Successful Lithium Brine Pumping Test at Clayton Valley South Project, Nevada",0.998
18/01/2017,MGX Minerals Provides Additional Details on Lithium Extraction from Oilfield Wastewater and the Future of Petrolithium,0.997
03/01/2017,MGX Minerals Extracts Lithium from Oil Wastewater,0.993
08/12/2016,MGX Minerals Signs Lithium Brine Agreement with Major Oil and Gas Operator,0.983
10/11/2016,Uranium Resources Reports Third Quarter 2016 Results and Reviews Lithium Business Development,0.998
20/10/2016,Uranium Resources Completes Acquisition of Utah Lithium Brine Project,0.993
23/09/2016,MGX Minerals Begins Integration of Lithium Brine Extraction Process with Purlucid's Water Purification Technology,0.995
21/09/2016,"Uranium Resources Acquires Second Lithium Brine Project, Expanding Its Exploration Portfolio into Utah",0.997
15/09/2016,MGX Minerals Acquires PurLucid Treatment Solutions Inc.- Solves Major Hurdle to Oil Well Lithium Brine Separation Process,0.998
12/09/2016,MGX Minerals Engages the Saskatchewan Research Council to Conduct Laboratory Testing of Lithium Brine Extraction from Oil Wells,0.958
29/06/2016,MGX Minerals Retains ChemCognition LLC to Provide Lithium Marketing and Product Development Services,0.927
22/06/2016,MGX Minerals Completes N.I. 43-101 Report for Alberta Lithium Brine Project,0.998
06/06/2016,MGX Minerals Acquires Rights to Rapid Lithium Brine Production Process,0.99
30/05/2016,MGX Minerals Reports up to 99.9% SiO2 Results from Silicon Properties,0.991
16/05/2016,MGX Minerals Completes Haul Road – Advances  Bulk Sample at Driftwood Creek Magnesium,0.956
09/05/2016,MGX Minerals Receives Initial CAPEX Report for Lithium Carbonate Plant,0.991
14/04/2016,MGX Minerals Receives Initial Process Design and Scoping Study for Production of Lithium Carbonate,0.992
14/04/2016,"MGX Minerals Further Expands Lithium Land  Position to 300,000 Hectares in Alberta",0.992
07/01/2016,Dundee Capital Markets' David Talbot Interviewed by The Energy Report,0.987
11/11/2015,VSA Capital's Paul Renken Interviewed by The Energy Report,0.996
02/11/2018,"Streetwise Reports Article Profiles Marifil Mines, a Company for the Electric Revolution",0.991
29/10/2018,Streetwise Reports Examines What Four Analysts and Goldman Sachs See In This Small-Cap Lithium Explorer,0.989
25/10/2018,Streetwise Reports Examines How Piedmont Lithium Is Poised to Take Advantage of Low-Cost U.S. Lithium Production,0.946
25/09/2018,Wealth Minerals Discusses the Role of Chile in Lithium and The Challenges Facing the Industry with Uptick Newswire’s Stock Day Podcast,0.998
01/08/2018,"Tim McCutcheon, President of Wealth Minerals, Ltd., Returns to Discuss Company Updates with Everett Jolly on Uptick Newswire’s “Stock Day” Podcast",0.999
13/06/2018,A$53 Million Fully Underwritten Placement to Advance Rhyolite Ridge Lithium-Boron Project,0.998
08/05/2018,CEO Tim Fernback of LiCo Energy Metals joins Everett Jolly on Uptick Newswire’s “Stock Day” Podcast,0.994
03/05/2018,Optimisation Success Leads to Further Significant Reductions in Leach Time and Acid Consumption,0.998
19/03/2018,Global Geoscience Joins S&P/ASX 300 Index and Provides Rhyolite Ridge Update,0.989
01/02/2018,"Trent Mell, President and CEO of First Cobalt Corporation Returns to “Stock Day” with Everett Jolly for an Operational Update and 2018 Forecast",0.99
19/12/2017,Initial Rhyolite Ridge Mining Study Confirms Potential for Long Mine Life from Currently Defined South Basin Resource,0.996
12/12/2017,Global Geoscience Makes Groundbreaking Discovery Heap Leach Lithium-Boron Extraction at Rhyolite Ridge,0.995
27/11/2017,"Uptick Network “Stock Day” Interviews CEO Tim Fernback Regarding Lico Energy Property’s and the Lithium, Cobalt Industry",0.951
16/10/2017,President Timothy McCutcheon Interviews on the Strategic Position of Wealth Minerals Assets in Chile,0.995
12/04/2019,Orocobre Limited – Naraha Lithium Hydroxide Plant Approved,0.992
17/10/2018,CEO of Nemaska Lithium Inc Joins Uptick Newswire’s Stock Day Podcast with an Update on Their Major Projects,0.998
29/08/2018,"Nemaska Lithium, Inc., CEO Guy Bourassa Visits Uptick Newswire’s ‘Stock Day’ Podcast With Everett Jolly",0.985
17/07/2019,Roskill: Lithium prices to continue slide despite forecast supply disruptions and strong demand growth,0.966
07/11/2019,Standard Lithium Announces Upcoming Event Participation,0.807
22/10/2019,Global Technology Systems Launches New Line of Replacement Batteries for UPS Systems,0.944
15/10/2019,Standard Lithium Completes Installation of Final Modules of Its “LiSTR” Direct Lithium Extraction Demonstration Plant at the Arkansas Project Site,0.996
01/10/2019,GTS Announces Groundbreaking Lithium-Water Rechargeable Battery Technology,0.984
16/09/2019,"Standard Lithium to Participate at Battery Next Summit in Boulder, CO on September 17, 2019",0.995
11/09/2019,GTS Helps OEMs Escape Tariffs by Shifting Battery Pack and Charger Production Out of China,0.971
05/09/2019,Lithium Battery company Lithium Werks acquiring System Integrator LiiON®,0.998
03/09/2019,Standard Lithium Announces Successful Delivery and Begins Installation of Phases 1 & 2 of Its Direct Lithium Extraction Demonstration Plant to the Arkansas Project Site,0.993
22/08/2019,Standard Lithium Completes Fabrication of Phases 1 & 2 and Begins Mobilisation of Its “LiSTR” Direct Lithium Extraction Demonstration Plant to the Arkansas Project Site,0.995
16/07/2019,Ethylene Carbonate Market To Reach USD 448.4 Million By 2026| Reports And Data,0.992
28/02/2019,Johnson Matthey and Lithium Werks sign long-term LFP battery materials supply agreement,0.996
14/01/2019,Cadenza Innovation Founder to Lead Discussions on Climate Change and Energy Transformation at Davos,0.999
14/01/2019,Lithium Werks appoints T. Joseph Fisher III as chairman,0.991
08/01/2019,World’s First OEM Battery Managed Services Launched by Global Technology Systems,0.982
25/10/2018,Aging Lithium Batteries Represent a Chronically Neglected Safety Hazard,0.914
16/10/2018,€1.6bn investment project kickstarts Lithium Werks’ battery gigafactories vision,0.998
02/10/2018,New Research Finds Nearly 80% of Enterprises Experience Mid-Shift Mobile Device Battery Failure,0.94
16/09/2018,"BAK Partners with Lithium-ion Battery Technology Company Cadenza Innovation to Introduce Startup's ""Supercell"" Platform to China",0.999
03/09/2018,Lithium Werks and Super B agree to merge to enable global energy transition,0.997
19/06/2018,Lithium Werks and Endrich agree pan-Asian battery distribution deal,0.995
13/09/2017,CEO Robert McAllister Highlights Optimistic Results with Enertopia and the Lithium Industry,0.994
15/06/2016,"Electrovaya signs a Letter of Intent with a major Residential Energy Storage Provider for delivery of Lithium Ion Battery Modules for Residential Energy Storage over a period of three years for an estimated total of up to Euro 199 Million (US$ 223 million, Cdn $ 288 million)",0.989
14/06/2016,"Electrovaya's subsidiary Litarion signs MOU with a leading OEM, with operations in Europe and Asia, to deliver Lithium Ion cells for Electric Buses",0.984
16/05/2016,"Electrovaya launches its 1kWh battery module (LitaCore1000) and an intelligent 48V, 2.3 kWh module (EV4823) as building blocks for OEMs designing Lithium Ion Battery Systems",0.989
10/05/2016,Electrovaya Announces Date of Earnings Release and Conference Call to Discuss the Second Quarter 2016 Financial Results,0.962
26/04/2016,"Electrovaya to Present at the Berenberg Battery Investors Conference on April 28, 2016",0.979
04/04/2016,Electrovaya Announces Results of Annual Shareholders' Meeting,0.978
29/02/2016,Ebix Reports Record Q4 Revenues of $70.2M and Diluted EPS of $0.65; Full Year Revenues Rose 24% to $265.5M and Diluted EPS Rose 36% to $2.28,1
09/02/2016,Electrovaya Reports 2nd Consecutive Profitable Quarter,0.995
05/02/2016,Electrovaya Announces Date of Earnings Release and Conference Call to Discuss the First Quarter 2016 Financial Results,0.969
29/07/2015,"Electrovaya Q3 2015 Revenue Up 900% Over Q2 2015, Following Transformative Acquisition",0.991
28/07/2015,Electrovaya Announces Date of Earnings Release and Conference Call to Discuss the Third Quarter 2015 Financial Results and the Transformational Acquisition of Litarion,0.984
17/07/2015,Electrovaya Announces Appointment of Richard Halka as Executive Vice President & Chief Financial Officer,0.992
11/01/2019,Streetwise Reports Examines Lithium Explorer's Expansion of North Carolina Properties by More Than 600 Acres,0.976
25/10/2018,Streetwise Reports Examines How Piedmont Lithium Is Poised to Take Advantage of Low-Cost U.S. Lithium Production,0.946
30/11/2017,"SMAC Wins Business in China, Manufacturing High Capacity EV Batteries",0.808
16/10/2019,Lithium Werks’ Marine Technology Puts Safety First,0.959
28/02/2019,Johnson Matthey and Lithium Werks sign long-term LFP battery materials supply agreement,0.996
19/06/2018,Lithium Werks and Endrich agree pan-Asian battery distribution deal,0.995
